"Town","FIPS","Year","Measure Type","Variable","Value"
"Coventry","0901317800","2008-2012","Number","Deaths",7
"Coventry","0901317800","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Coventry","0901317800","2010-2014","Crude Rate (per 100,000)","Deaths",16.1
"Coventry","0901317800","2010-2014","Number","Deaths",10
"Cromwell","0900718080","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Cromwell","0900718080","2006-2010","Crude Rate (per 100,000)","Deaths",10.08
"Cromwell","0900718080","2006-2010","Number","Deaths",7
"Cromwell","0900718080","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Cromwell","0900718080","2007-2011","Crude Rate (per 100,000)","Deaths",15.77
"Cromwell","0900718080","2007-2011","Number","Deaths",11
"Cromwell","0900718080","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Cromwell","0900718080","2008-2012","Crude Rate (per 100,000)","Deaths",17.14
"Cromwell","0900718080","2008-2012","Number","Deaths",12
"Cromwell","0900718080","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Cromwell","0900718080","2010-2014","Crude Rate (per 100,000)","Deaths",19.86
"Cromwell","0900718080","2010-2014","Number","Deaths",14
"Danbury","0900118500","2006-2010","AAMR (per 100,000)","Deaths",7.93
"Danbury","0900118500","2006-2010","Crude Rate (per 100,000)","Deaths",8.32
"Danbury","0900118500","2006-2010","Number","Deaths",33
"Danbury","0900118500","2007-2011","AAMR (per 100,000)","Deaths",6.59
"Danbury","0900118500","2007-2011","Crude Rate (per 100,000)","Deaths",6.99
"Danbury","0900118500","2007-2011","Number","Deaths",28
"Danbury","0900118500","2008-2012","AAMR (per 100,000)","Deaths",6.9
"Danbury","0900118500","2008-2012","Crude Rate (per 100,000)","Deaths",7.41
"Danbury","0900118500","2008-2012","Number","Deaths",30
"Danbury","0900118500","2010-2014","AAMR (per 100,000)","Deaths",7.33
"Danbury","0900118500","2010-2014","Crude Rate (per 100,000)","Deaths",7.75
"Danbury","0900118500","2010-2014","Number","Deaths",32
"Darien","0900118850","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Darien","0900118850","2006-2010","Crude Rate (per 100,000)","Deaths",4.9
"Darien","0900118850","2006-2010","Number","Deaths",5
"Darien","0900118850","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Darien","0900118850","2007-2011","Crude Rate (per 100,000)","Deaths",5.83
"Darien","0900118850","2007-2011","Number","Deaths",6
"Darien","0900118850","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Darien","0900118850","2008-2012","Crude Rate (per 100,000)","Deaths",8.67
"Darien","0900118850","2008-2012","Number","Deaths",9
"Darien","0900118850","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Darien","0900118850","2010-2014","Crude Rate (per 100,000)","Deaths",9.45
"Darien","0900118850","2010-2014","Number","Deaths",10
"Deep River","0900719130","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Deep River","0900719130","2006-2010","Crude Rate (per 100,000)","Deaths",4.31
"Deep River","0900719130","2006-2010","Number","Deaths",1
"Deep River","0900719130","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Deep River","0900719130","2007-2011","Crude Rate (per 100,000)","Deaths",8.6
"Deep River","0900719130","2007-2011","Number","Deaths",2
"Deep River","0900719130","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Deep River","0900719130","2008-2012","Crude Rate (per 100,000)","Deaths",4.32
"Deep River","0900719130","2008-2012","Number","Deaths",1
"Deep River","0900719130","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Deep River","0900719130","2010-2014","Crude Rate (per 100,000)","Deaths",8.69
"Deep River","0900719130","2010-2014","Number","Deaths",2
"Derby","0900919550","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Derby","0900919550","2006-2010","Crude Rate (per 100,000)","Deaths",4.68
"Derby","0900919550","2006-2010","Number","Deaths",3
"Derby","0900919550","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Derby","0900919550","2007-2011","Crude Rate (per 100,000)","Deaths",7.79
"Derby","0900919550","2007-2011","Number","Deaths",5
"Derby","0900919550","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Derby","0900919550","2008-2012","Crude Rate (per 100,000)","Deaths",9.3
"Derby","0900919550","2008-2012","Number","Deaths",6
"Derby","0900919550","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Derby","0900919550","2010-2014","Crude Rate (per 100,000)","Deaths",9.35
"Derby","0900919550","2010-2014","Number","Deaths",6
"Durham","0900720810","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Durham","0900720810","2006-2010","Crude Rate (per 100,000)","Deaths",10.97
"Durham","0900720810","2006-2010","Number","Deaths",4
"Durham","0900720810","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Durham","0900720810","2007-2011","Crude Rate (per 100,000)","Deaths",13.62
"Durham","0900720810","2007-2011","Number","Deaths",5
"Durham","0900720810","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Durham","0900720810","2008-2012","Crude Rate (per 100,000)","Deaths",10.83
"Durham","0900720810","2008-2012","Number","Deaths",4
"Durham","0900720810","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Durham","0900720810","2010-2014","Crude Rate (per 100,000)","Deaths",13.56
"Durham","0900720810","2010-2014","Number","Deaths",5
"Eastford","0901521860","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Eastford","0901521860","2006-2010","Crude Rate (per 100,000)","Deaths",24.6
"Eastford","0901521860","2006-2010","Number","Deaths",2
"Eastford","0901521860","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Eastford","0901521860","2007-2011","Crude Rate (per 100,000)","Deaths",24.97
"Eastford","0901521860","2007-2011","Number","Deaths",2
"Eastford","0901521860","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Eastford","0901521860","2008-2012","Crude Rate (per 100,000)","Deaths",34.29
"Eastford","0901521860","2008-2012","Number","Deaths",3
"Eastford","0901521860","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Eastford","0901521860","2010-2014","Crude Rate (per 100,000)","Deaths",11.5
"Eastford","0901521860","2010-2014","Number","Deaths",1
"East Granby","0900322070","2006-2010","AAMR (per 100,000)","Deaths",-6666
"East Granby","0900322070","2006-2010","Crude Rate (per 100,000)","Deaths",7.75
"East Granby","0900322070","2006-2010","Number","Deaths",2
"East Granby","0900322070","2007-2011","AAMR (per 100,000)","Deaths",-6666
"East Granby","0900322070","2007-2011","Crude Rate (per 100,000)","Deaths",15.83
"East Granby","0900322070","2007-2011","Number","Deaths",4
"East Granby","0900322070","2008-2012","AAMR (per 100,000)","Deaths",-6666
"East Granby","0900322070","2008-2012","Crude Rate (per 100,000)","Deaths",15.54
"East Granby","0900322070","2008-2012","Number","Deaths",4
"East Granby","0900322070","2010-2014","AAMR (per 100,000)","Deaths",-6666
"East Granby","0900322070","2010-2014","Crude Rate (per 100,000)","Deaths",15.44
"East Granby","0900322070","2010-2014","Number","Deaths",4
"East Haddam","0900722280","2006-2010","AAMR (per 100,000)","Deaths",-6666
"East Haddam","0900722280","2006-2010","Crude Rate (per 100,000)","Deaths",6.64
"East Haddam","0900722280","2006-2010","Number","Deaths",3
"East Haddam","0900722280","2007-2011","AAMR (per 100,000)","Deaths",-6666
"East Haddam","0900722280","2007-2011","Crude Rate (per 100,000)","Deaths",6.62
"East Haddam","0900722280","2007-2011","Number","Deaths",3
"East Haddam","0900722280","2008-2012","AAMR (per 100,000)","Deaths",-6666
"East Haddam","0900722280","2008-2012","Crude Rate (per 100,000)","Deaths",6.58
"East Haddam","0900722280","2008-2012","Number","Deaths",3
"East Haddam","0900722280","2010-2014","AAMR (per 100,000)","Deaths",-6666
"East Haddam","0900722280","2010-2014","Crude Rate (per 100,000)","Deaths",10.94
"East Haddam","0900722280","2010-2014","Number","Deaths",5
"East Hampton","0900722490","2006-2010","AAMR (per 100,000)","Deaths",-6666
"East Hampton","0900722490","2006-2010","Crude Rate (per 100,000)","Deaths",9.31
"East Hampton","0900722490","2006-2010","Number","Deaths",6
"East Hampton","0900722490","2007-2011","AAMR (per 100,000)","Deaths",-6666
"East Hampton","0900722490","2007-2011","Crude Rate (per 100,000)","Deaths",9.28
"East Hampton","0900722490","2007-2011","Number","Deaths",6
"East Hampton","0900722490","2008-2012","AAMR (per 100,000)","Deaths",-6666
"East Hampton","0900722490","2008-2012","Crude Rate (per 100,000)","Deaths",16.98
"East Hampton","0900722490","2008-2012","Number","Deaths",11
"East Hampton","0900722490","2010-2014","AAMR (per 100,000)","Deaths",-6666
"East Hampton","0900722490","2010-2014","Crude Rate (per 100,000)","Deaths",17.01
"East Hampton","0900722490","2010-2014","Number","Deaths",11
"East Hartford","0900322630","2006-2010","AAMR (per 100,000)","Deaths",7.95
"East Hartford","0900322630","2006-2010","Crude Rate (per 100,000)","Deaths",8.63
"East Hartford","0900322630","2006-2010","Number","Deaths",22
"East Hartford","0900322630","2007-2011","AAMR (per 100,000)","Deaths",8.11
"East Hartford","0900322630","2007-2011","Crude Rate (per 100,000)","Deaths",9
"East Hartford","0900322630","2007-2011","Number","Deaths",23
"East Hartford","0900322630","2008-2012","AAMR (per 100,000)","Deaths",8.99
"East Hartford","0900322630","2008-2012","Crude Rate (per 100,000)","Deaths",9.36
"East Hartford","0900322630","2008-2012","Number","Deaths",24
"East Hartford","0900322630","2010-2014","AAMR (per 100,000)","Deaths",9.32
"East Hartford","0900322630","2010-2014","Crude Rate (per 100,000)","Deaths",9.37
"East Hartford","0900322630","2010-2014","Number","Deaths",24
"East Haven","0900922910","2006-2010","AAMR (per 100,000)","Deaths",-6666
"East Haven","0900922910","2006-2010","Crude Rate (per 100,000)","Deaths",5.5
"East Haven","0900922910","2006-2010","Number","Deaths",8
"East Haven","0900922910","2007-2011","AAMR (per 100,000)","Deaths",-6666
"East Haven","0900922910","2007-2011","Crude Rate (per 100,000)","Deaths",5.49
"East Haven","0900922910","2007-2011","Number","Deaths",8
"East Haven","0900922910","2008-2012","AAMR (per 100,000)","Deaths",-6666
"East Haven","0900922910","2008-2012","Crude Rate (per 100,000)","Deaths",6.84
"East Haven","0900922910","2008-2012","Number","Deaths",10
"East Haven","0900922910","2010-2014","AAMR (per 100,000)","Deaths",-6666
"East Haven","0900922910","2010-2014","Crude Rate (per 100,000)","Deaths",9.6
"East Haven","0900922910","2010-2014","Number","Deaths",14
"East Lyme","0901123400","2006-2010","AAMR (per 100,000)","Deaths",-6666
"East Lyme","0901123400","2006-2010","Crude Rate (per 100,000)","Deaths",9.44
"East Lyme","0901123400","2006-2010","Number","Deaths",9
"East Lyme","0901123400","2007-2011","AAMR (per 100,000)","Deaths",-6666
"East Lyme","0901123400","2007-2011","Crude Rate (per 100,000)","Deaths",11.53
"East Lyme","0901123400","2007-2011","Number","Deaths",11
"East Lyme","0901123400","2008-2012","AAMR (per 100,000)","Deaths",-6666
"East Lyme","0901123400","2008-2012","Crude Rate (per 100,000)","Deaths",9.4
"East Lyme","0901123400","2008-2012","Number","Deaths",9
"East Lyme","0901123400","2010-2014","AAMR (per 100,000)","Deaths",-6666
"East Lyme","0901123400","2010-2014","Crude Rate (per 100,000)","Deaths",13.65
"East Lyme","0901123400","2010-2014","Number","Deaths",13
"Easton","0900123890","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Easton","0900123890","2006-2010","Crude Rate (per 100,000)","Deaths",10.81
"Easton","0900123890","2006-2010","Number","Deaths",4
"Easton","0900123890","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Easton","0900123890","2007-2011","Crude Rate (per 100,000)","Deaths",13.42
"Easton","0900123890","2007-2011","Number","Deaths",5
"Easton","0900123890","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Easton","0900123890","2008-2012","Crude Rate (per 100,000)","Deaths",13.33
"Easton","0900123890","2008-2012","Number","Deaths",5
"Easton","0900123890","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Easton","0900123890","2010-2014","Crude Rate (per 100,000)","Deaths",15.83
"Easton","0900123890","2010-2014","Number","Deaths",6
"East Windsor","0900324800","2006-2010","AAMR (per 100,000)","Deaths",-6666
"East Windsor","0900324800","2006-2010","Crude Rate (per 100,000)","Deaths",12.82
"East Windsor","0900324800","2006-2010","Number","Deaths",7
"East Windsor","0900324800","2007-2011","AAMR (per 100,000)","Deaths",-6666
"East Windsor","0900324800","2007-2011","Crude Rate (per 100,000)","Deaths",9.07
"East Windsor","0900324800","2007-2011","Number","Deaths",5
"East Windsor","0900324800","2008-2012","AAMR (per 100,000)","Deaths",-6666
"East Windsor","0900324800","2008-2012","Crude Rate (per 100,000)","Deaths",12.54
"East Windsor","0900324800","2008-2012","Number","Deaths",7
"East Windsor","0900324800","2010-2014","AAMR (per 100,000)","Deaths",-6666
"East Windsor","0900324800","2010-2014","Crude Rate (per 100,000)","Deaths",12.38
"East Windsor","0900324800","2010-2014","Number","Deaths",7
"Ellington","0901325360","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Ellington","0901325360","2006-2010","Crude Rate (per 100,000)","Deaths",7.88
"Ellington","0901325360","2006-2010","Number","Deaths",6
"Ellington","0901325360","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Ellington","0901325360","2007-2011","Crude Rate (per 100,000)","Deaths",9.09
"Ellington","0901325360","2007-2011","Number","Deaths",7
"Ellington","0901325360","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Ellington","0901325360","2008-2012","Crude Rate (per 100,000)","Deaths",11.53
"Ellington","0901325360","2008-2012","Number","Deaths",9
"Ellington","0901325360","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Ellington","0901325360","2010-2014","Crude Rate (per 100,000)","Deaths",16.55
"Ellington","0901325360","2010-2014","Number","Deaths",13
"Enfield","0900325990","2006-2010","AAMR (per 100,000)","Deaths",13.98
"Enfield","0900325990","2006-2010","Crude Rate (per 100,000)","Deaths",13.84
"Enfield","0900325990","2006-2010","Number","Deaths",31
"Enfield","0900325990","2007-2011","AAMR (per 100,000)","Deaths",15.37
"Enfield","0900325990","2007-2011","Crude Rate (per 100,000)","Deaths",15.2
"Enfield","0900325990","2007-2011","Number","Deaths",34
"Enfield","0900325990","2008-2012","AAMR (per 100,000)","Deaths",14.94
"Enfield","0900325990","2008-2012","Crude Rate (per 100,000)","Deaths",15.67
"Enfield","0900325990","2008-2012","Number","Deaths",35
"Enfield","0900325990","2010-2014","AAMR (per 100,000)","Deaths",16.03
"Enfield","0900325990","2010-2014","Crude Rate (per 100,000)","Deaths",17.01
"Enfield","0900325990","2010-2014","Number","Deaths",38
"Essex","0900726270","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Essex","0900726270","2006-2010","Crude Rate (per 100,000)","Deaths",14.96
"Essex","0900726270","2006-2010","Number","Deaths",5
"Essex","0900726270","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Essex","0900726270","2007-2011","Crude Rate (per 100,000)","Deaths",20.9
"Essex","0900726270","2007-2011","Number","Deaths",7
"Essex","0900726270","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Essex","0900726270","2008-2012","Crude Rate (per 100,000)","Deaths",20.95
"Essex","0900726270","2008-2012","Number","Deaths",7
"Essex","0900726270","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Essex","0900726270","2010-2014","Crude Rate (per 100,000)","Deaths",18.03
"Essex","0900726270","2010-2014","Number","Deaths",6
"Fairfield","0900126620","2006-2010","AAMR (per 100,000)","Deaths",6.9
"Fairfield","0900126620","2006-2010","Crude Rate (per 100,000)","Deaths",6.13
"Fairfield","0900126620","2006-2010","Number","Deaths",18
"Fairfield","0900126620","2007-2011","AAMR (per 100,000)","Deaths",7.21
"Fairfield","0900126620","2007-2011","Crude Rate (per 100,000)","Deaths",6.77
"Fairfield","0900126620","2007-2011","Number","Deaths",20
"Fairfield","0900126620","2008-2012","AAMR (per 100,000)","Deaths",10.52
"Fairfield","0900126620","2008-2012","Crude Rate (per 100,000)","Deaths",10.08
"Fairfield","0900126620","2008-2012","Number","Deaths",30
"Fairfield","0900126620","2010-2014","AAMR (per 100,000)","Deaths",7.86
"Fairfield","0900126620","2010-2014","Crude Rate (per 100,000)","Deaths",7.94
"Fairfield","0900126620","2010-2014","Number","Deaths",24
"Farmington","0900327600","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Farmington","0900327600","2006-2010","Crude Rate (per 100,000)","Deaths",5.59
"Farmington","0900327600","2006-2010","Number","Deaths",7
"Farmington","0900327600","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Farmington","0900327600","2007-2011","Crude Rate (per 100,000)","Deaths",6.35
"Farmington","0900327600","2007-2011","Number","Deaths",8
"Farmington","0900327600","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Farmington","0900327600","2008-2012","Crude Rate (per 100,000)","Deaths",7.89
"Farmington","0900327600","2008-2012","Number","Deaths",10
"Farmington","0900327600","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Farmington","0900327600","2010-2014","Crude Rate (per 100,000)","Deaths",7.06
"Farmington","0900327600","2010-2014","Number","Deaths",9
"Franklin","0901129910","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Franklin","0901129910","2006-2010","Crude Rate (per 100,000)","Deaths",20.79
"Franklin","0901129910","2006-2010","Number","Deaths",2
"Franklin","0901129910","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Franklin","0901129910","2007-2011","Crude Rate (per 100,000)","Deaths",20.43
"Franklin","0901129910","2007-2011","Number","Deaths",2
"Franklin","0901129910","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Franklin","0901129910","2008-2012","Crude Rate (per 100,000)","Deaths",20.81
"Franklin","0901129910","2008-2012","Number","Deaths",2
"Franklin","0901129910","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Franklin","0901129910","2010-2014","Crude Rate (per 100,000)","Deaths",20.4
"Franklin","0901129910","2010-2014","Number","Deaths",2
"Glastonbury","0900331240","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Glastonbury","0900331240","2006-2010","Crude Rate (per 100,000)","Deaths",8.24
"Glastonbury","0900331240","2006-2010","Number","Deaths",14
"Glastonbury","0900331240","2007-2011","AAMR (per 100,000)","Deaths",8.61
"Glastonbury","0900331240","2007-2011","Crude Rate (per 100,000)","Deaths",8.78
"Glastonbury","0900331240","2007-2011","Number","Deaths",15
"Glastonbury","0900331240","2008-2012","AAMR (per 100,000)","Deaths",11.43
"Glastonbury","0900331240","2008-2012","Crude Rate (per 100,000)","Deaths",11.62
"Glastonbury","0900331240","2008-2012","Number","Deaths",20
"Glastonbury","0900331240","2010-2014","AAMR (per 100,000)","Deaths",8.52
"Glastonbury","0900331240","2010-2014","Crude Rate (per 100,000)","Deaths",9.24
"Glastonbury","0900331240","2010-2014","Number","Deaths",16
"Goshen","0900532290","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Goshen","0900532290","2006-2010","Crude Rate (per 100,000)","Deaths",6.78
"Goshen","0900532290","2006-2010","Number","Deaths",1
"Goshen","0900532290","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Goshen","0900532290","2007-2011","Crude Rate (per 100,000)","Deaths",13.53
"Goshen","0900532290","2007-2011","Number","Deaths",2
"Goshen","0900532290","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Goshen","0900532290","2008-2012","Crude Rate (per 100,000)","Deaths",20.18
"Goshen","0900532290","2008-2012","Number","Deaths",3
"Goshen","0900532290","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Goshen","0900532290","2010-2014","Crude Rate (per 100,000)","Deaths",20.36
"Goshen","0900532290","2010-2014","Number","Deaths",3
"Granby","0900332640","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Granby","0900332640","2006-2010","Crude Rate (per 100,000)","Deaths",5.39
"Granby","0900332640","2006-2010","Number","Deaths",3
"Granby","0900332640","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Granby","0900332640","2007-2011","Crude Rate (per 100,000)","Deaths",7.15
"Granby","0900332640","2007-2011","Number","Deaths",4
"Granby","0900332640","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Granby","0900332640","2008-2012","Crude Rate (per 100,000)","Deaths",12.41
"Granby","0900332640","2008-2012","Number","Deaths",7
"Granby","0900332640","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Granby","0900332640","2010-2014","Crude Rate (per 100,000)","Deaths",12.39
"Granby","0900332640","2010-2014","Number","Deaths",7
"Greenwich","0900133620","2006-2010","AAMR (per 100,000)","Deaths",7.3
"Greenwich","0900133620","2006-2010","Crude Rate (per 100,000)","Deaths",7.89
"Greenwich","0900133620","2006-2010","Number","Deaths",24
"Greenwich","0900133620","2007-2011","AAMR (per 100,000)","Deaths",7.01
"Greenwich","0900133620","2007-2011","Crude Rate (per 100,000)","Deaths",7.54
"Greenwich","0900133620","2007-2011","Number","Deaths",23
"Greenwich","0900133620","2008-2012","AAMR (per 100,000)","Deaths",6.88
"Greenwich","0900133620","2008-2012","Crude Rate (per 100,000)","Deaths",7.51
"Greenwich","0900133620","2008-2012","Number","Deaths",23
"Greenwich","0900133620","2010-2014","AAMR (per 100,000)","Deaths",6.44
"Greenwich","0900133620","2010-2014","Crude Rate (per 100,000)","Deaths",7.41
"Greenwich","0900133620","2010-2014","Number","Deaths",23
"Griswold","0901133900","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Griswold","0901133900","2006-2010","Crude Rate (per 100,000)","Deaths",5.1
"Griswold","0901133900","2006-2010","Number","Deaths",3
"Griswold","0901133900","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Griswold","0901133900","2007-2011","Crude Rate (per 100,000)","Deaths",6.76
"Griswold","0901133900","2007-2011","Number","Deaths",4
"Griswold","0901133900","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Griswold","0901133900","2008-2012","Crude Rate (per 100,000)","Deaths",8.37
"Griswold","0901133900","2008-2012","Number","Deaths",5
"Griswold","0901133900","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Griswold","0901133900","2010-2014","Crude Rate (per 100,000)","Deaths",8.37
"Griswold","0901133900","2010-2014","Number","Deaths",5
"Groton","0901134250","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Groton","0901134250","2006-2010","Crude Rate (per 100,000)","Deaths",6.96
"Groton","0901134250","2006-2010","Number","Deaths",14
"Groton","0901134250","2007-2011","AAMR (per 100,000)","Deaths",8.2
"Groton","0901134250","2007-2011","Crude Rate (per 100,000)","Deaths",8.46
"Groton","0901134250","2007-2011","Number","Deaths",17
"Groton","0901134250","2008-2012","AAMR (per 100,000)","Deaths",8.99
"Groton","0901134250","2008-2012","Crude Rate (per 100,000)","Deaths",8.98
"Groton","0901134250","2008-2012","Number","Deaths",18
"Groton","0901134250","2010-2014","AAMR (per 100,000)","Deaths",11.5
"Groton","0901134250","2010-2014","Crude Rate (per 100,000)","Deaths",11.47
"Groton","0901134250","2010-2014","Number","Deaths",23
"Guilford","0900934950","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Guilford","0900934950","2006-2010","Crude Rate (per 100,000)","Deaths",6.3
"Guilford","0900934950","2006-2010","Number","Deaths",7
"Guilford","0900934950","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Guilford","0900934950","2007-2011","Crude Rate (per 100,000)","Deaths",10.78
"Guilford","0900934950","2007-2011","Number","Deaths",12
"Guilford","0900934950","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Guilford","0900934950","2008-2012","Crude Rate (per 100,000)","Deaths",8.94
"Guilford","0900934950","2008-2012","Number","Deaths",10
"Guilford","0900934950","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Guilford","0900934950","2010-2014","Crude Rate (per 100,000)","Deaths",9.83
"Guilford","0900934950","2010-2014","Number","Deaths",11
"Haddam","0900735230","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Haddam","0900735230","2006-2010","Crude Rate (per 100,000)","Deaths",2.44
"Haddam","0900735230","2006-2010","Number","Deaths",1
"Haddam","0900735230","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Haddam","0900735230","2007-2011","Crude Rate (per 100,000)","Deaths",4.84
"Haddam","0900735230","2007-2011","Number","Deaths",2
"Haddam","0900735230","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Haddam","0900735230","2008-2012","Crude Rate (per 100,000)","Deaths",4.79
"Haddam","0900735230","2008-2012","Number","Deaths",2
"Haddam","0900735230","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Haddam","0900735230","2010-2014","Crude Rate (per 100,000)","Deaths",2.39
"Haddam","0900735230","2010-2014","Number","Deaths",1
"Hamden","0900935650","2006-2010","AAMR (per 100,000)","Deaths",7.36
"Hamden","0900935650","2006-2010","Crude Rate (per 100,000)","Deaths",7.3
"Hamden","0900935650","2006-2010","Number","Deaths",22
"Hamden","0900935650","2007-2011","AAMR (per 100,000)","Deaths",7.42
"Hamden","0900935650","2007-2011","Crude Rate (per 100,000)","Deaths",7.27
"Hamden","0900935650","2007-2011","Number","Deaths",22
"Hamden","0900935650","2008-2012","AAMR (per 100,000)","Deaths",5.86
"Hamden","0900935650","2008-2012","Crude Rate (per 100,000)","Deaths",5.91
"Hamden","0900935650","2008-2012","Number","Deaths",18
"Hamden","0900935650","2010-2014","AAMR (per 100,000)","Deaths",7.05
"Hamden","0900935650","2010-2014","Crude Rate (per 100,000)","Deaths",7.2
"Hamden","0900935650","2010-2014","Number","Deaths",22
"Hampton","0901536000","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Hampton","0901536000","2006-2010","Crude Rate (per 100,000)","Deaths",42.92
"Hampton","0901536000","2006-2010","Number","Deaths",4
"Hampton","0901536000","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Hampton","0901536000","2007-2011","Crude Rate (per 100,000)","Deaths",43.31
"Hampton","0901536000","2007-2011","Number","Deaths",4
"Hampton","0901536000","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Hampton","0901536000","2008-2012","Crude Rate (per 100,000)","Deaths",32.19
"Hampton","0901536000","2008-2012","Number","Deaths",3
"Hampton","0901536000","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Hampton","0901536000","2010-2014","Crude Rate (per 100,000)","Deaths",21.47
"Hampton","0901536000","2010-2014","Number","Deaths",2
"Hartford","0900337070","2006-2010","AAMR (per 100,000)","Deaths",7.65
"Hartford","0900337070","2006-2010","Crude Rate (per 100,000)","Deaths",7.05
"Hartford","0900337070","2006-2010","Number","Deaths",44
"Hartford","0900337070","2007-2011","AAMR (per 100,000)","Deaths",7.57
"Hartford","0900337070","2007-2011","Crude Rate (per 100,000)","Deaths",7.21
"Hartford","0900337070","2007-2011","Number","Deaths",45
"Hartford","0900337070","2008-2012","AAMR (per 100,000)","Deaths",7.5
"Hartford","0900337070","2008-2012","Crude Rate (per 100,000)","Deaths",7.37
"Hartford","0900337070","2008-2012","Number","Deaths",46
"Hartford","0900337070","2010-2014","AAMR (per 100,000)","Deaths",6.26
"Hartford","0900337070","2010-2014","Crude Rate (per 100,000)","Deaths",6.09
"Hartford","0900337070","2010-2014","Number","Deaths",38
"Hartland","0900337140","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Hartland","0900337140","2006-2010","Crude Rate (per 100,000)","Deaths",-6666
"Hartland","0900337140","2006-2010","Number","Deaths",-6666
"Hartland","0900337140","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Hartland","0900337140","2007-2011","Crude Rate (per 100,000)","Deaths",-6666
"Hartland","0900337140","2007-2011","Number","Deaths",-6666
"Hartland","0900337140","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Hartland","0900337140","2008-2012","Crude Rate (per 100,000)","Deaths",-6666
"Hartland","0900337140","2008-2012","Number","Deaths",-6666
"Hartland","0900337140","2010-2014","AAMR (per 100,000)","Deaths",-6666
