Indicator,Geography,Year,Strata,Strata Name,Numerator,Denominator,Rate,Age Adjusted Rate
Suicide,Sacramento,2006-2008,Sex,Female,115,2124000,5.415,5.345
Suicide,Sacramento,2006-2008,Sex,Male,412,2037000,20.22,20.83
Suicide,Sacramento,2006-2008,Sex,Total,527,4161000,12.66,12.7
Suicide,Sacramento,2009-2011,Sex,Female,134,2176000,6.157,5.986
Suicide,Sacramento,2009-2011,Sex,Male,390,2091000,18.66,18.99
Suicide,Sacramento,2009-2011,Sex,Total,524,4267000,12.28,12.06
Suicide,Sacramento,2012-2014,Sex,Female,139,2230000,6.234,5.939
Suicide,Sacramento,2012-2014,Sex,Male,453,2145000,21.12,21.51
Suicide,Sacramento,2012-2014,Sex,Total,592,4375000,13.53,13.32
Suicide,Sacramento,2015-2017,Sex,Female,136,2301000,5.911,5.643
Suicide,Sacramento,2015-2017,Sex,Male,454,2220000,20.45,20.54
Suicide,Sacramento,2015-2017,Sex,Total,590,4521000,13.05,12.73
Suicide,San Benito,2003-2005,Sex,Total,15,165900,9.041,9.003
Suicide,San Benito,2009-2011,Sex,Total,14,166400,8.414,9.689
Suicide,San Benito,2015-2017,Sex,Total,18,174100,10.34,11.24
Suicide,San Bernardino,2000-2002,Sex,Female,103,2651000,3.885,4.18
Suicide,San Bernardino,2000-2002,Sex,Male,394,2633000,14.97,18.22
Suicide,San Bernardino,2000-2002,Sex,Total,497,5284000,9.406,10.64
Suicide,San Bernardino,2003-2005,Sex,Female,107,2859000,3.742,3.975
Suicide,San Bernardino,2003-2005,Sex,Male,437,2834000,15.42,18.08
Suicide,San Bernardino,2003-2005,Sex,Total,544,5693000,9.556,10.59
Suicide,San Bernardino,2006-2008,Sex,Female,128,3012000,4.25,4.448
Suicide,San Bernardino,2006-2008,Sex,Male,423,2984000,14.18,16.12
Suicide,San Bernardino,2006-2008,Sex,Total,551,5996000,9.19,9.952
Suicide,San Bernardino,2009-2011,Sex,Female,145,3082000,4.705,4.826
Suicide,San Bernardino,2009-2011,Sex,Male,492,3049000,16.13,17.45
Suicide,San Bernardino,2009-2011,Sex,Total,637,6131000,10.39,10.86
Suicide,San Bernardino,2012-2014,Sex,Female,103,3159000,3.26,3.268
Suicide,San Bernardino,2012-2014,Sex,Male,507,3122000,16.24,17.66
Suicide,San Bernardino,2012-2014,Sex,Total,610,6282000,9.711,10.14
Suicide,San Bernardino,2015-2017,Sex,Female,150,3243000,4.626,4.691
Suicide,San Bernardino,2015-2017,Sex,Male,516,3203000,16.11,17.33
Suicide,San Bernardino,2015-2017,Sex,Total,666,6446000,10.33,10.73
Suicide,San Diego,2000-2002,Sex,Female,236,4284000,5.509,5.522
Suicide,San Diego,2000-2002,Sex,Male,719,4325000,16.62,18.03
Suicide,San Diego,2000-2002,Sex,Total,955,8609000,11.09,11.42
Suicide,San Diego,2003-2005,Sex,Female,225,4419000,5.092,5.067
Suicide,San Diego,2003-2005,Sex,Male,706,4459000,15.83,16.85
Suicide,San Diego,2003-2005,Sex,Total,931,8877000,10.49,10.69
Suicide,San Diego,2006-2008,Sex,Female,225,4504000,4.996,4.938
Suicide,San Diego,2006-2008,Sex,Male,763,4544000,16.79,17.49
Suicide,San Diego,2006-2008,Sex,Total,988,9048000,10.92,10.91
Suicide,San Diego,2009-2011,Sex,Female,262,4637000,5.65,5.371
Suicide,San Diego,2009-2011,Sex,Male,835,4676000,17.86,17.93
Suicide,San Diego,2009-2011,Sex,Total,1097,9314000,11.78,11.42
Suicide,San Diego,2012-2014,Sex,Female,307,4795000,6.403,6.15
Suicide,San Diego,2012-2014,Sex,Male,931,4837000,19.25,19.4
Suicide,San Diego,2012-2014,Sex,Total,1238,9632000,12.85,12.54
Suicide,San Diego,2015-2017,Sex,Female,305,4926000,6.192,5.931
Suicide,San Diego,2015-2017,Sex,Male,941,4978000,18.9,18.91
Suicide,San Diego,2015-2017,Sex,Total,1246,9904000,12.58,12.24
Suicide,San Francisco,2000-2002,Sex,Female,67,1153000,5.809,4.898
Suicide,San Francisco,2000-2002,Sex,Male,213,1191000,17.88,16.89
Suicide,San Francisco,2000-2002,Sex,Total,280,2344000,11.94,10.91
Suicide,San Francisco,2003-2005,Sex,Female,65,1153000,5.64,5.052
Suicide,San Francisco,2003-2005,Sex,Male,213,1190000,17.9,16.21
Suicide,San Francisco,2003-2005,Sex,Total,278,2342000,11.87,10.7
Suicide,San Francisco,2006-2008,Sex,Female,62,1169000,5.305,4.465
Suicide,San Francisco,2006-2008,Sex,Male,236,1204000,19.6,17.15
Suicide,San Francisco,2006-2008,Sex,Total,298,2373000,12.56,10.93
Suicide,San Francisco,2009-2011,Sex,Female,74,1198000,6.177,5.579
Suicide,San Francisco,2009-2011,Sex,Male,211,1233000,17.11,15.47
Suicide,San Francisco,2009-2011,Sex,Total,285,2431000,11.72,10.53
Suicide,San Francisco,2012-2014,Sex,Female,54,1248000,4.327,3.761
Suicide,San Francisco,2012-2014,Sex,Male,150,1282000,11.7,10.73
Suicide,San Francisco,2012-2014,Sex,Total,204,2530000,8.063,7.299
Suicide,San Francisco,2015-2017,Sex,Female,84,1290000,6.511,5.374
Suicide,San Francisco,2015-2017,Sex,Male,225,1324000,17,15.16
Suicide,San Francisco,2015-2017,Sex,Total,309,2614000,11.82,10.32
Suicide,San Joaquin,2000-2002,Sex,Female,30,882000,3.401,3.596
Suicide,San Joaquin,2000-2002,Sex,Male,143,877900,16.29,18.37
Suicide,San Joaquin,2000-2002,Sex,Total,173,1760000,9.83,10.5
Suicide,San Joaquin,2003-2005,Sex,Female,27,958900,2.816,2.98
Suicide,San Joaquin,2003-2005,Sex,Male,110,952400,11.55,12.78
Suicide,San Joaquin,2003-2005,Sex,Total,137,1911000,7.168,7.652
Suicide,San Joaquin,2006-2008,Sex,Female,39,1007000,3.874,4.046
Suicide,San Joaquin,2006-2008,Sex,Male,147,999200,14.71,16.51
Suicide,San Joaquin,2006-2008,Sex,Total,186,2006000,9.273,9.983
Suicide,San Joaquin,2009-2011,Sex,Female,40,1035000,3.864,4.05
Suicide,San Joaquin,2009-2011,Sex,Male,161,1027000,15.67,17.06
Suicide,San Joaquin,2009-2011,Sex,Total,201,2062000,9.746,10.28
Suicide,San Joaquin,2012-2014,Sex,Female,49,1066000,4.598,4.705
Suicide,San Joaquin,2012-2014,Sex,Male,179,1058000,16.92,18.22
Suicide,San Joaquin,2012-2014,Sex,Total,228,2123000,10.74,11.16
Suicide,San Joaquin,2015-2017,Sex,Female,42,1110000,3.783,3.768
Suicide,San Joaquin,2015-2017,Sex,Male,179,1106000,16.18,17.16
Suicide,San Joaquin,2015-2017,Sex,Total,221,2216000,9.971,10.21
Suicide,San Luis Obispo,2000-2002,Sex,Female,18,366500,4.911,4.64
Suicide,San Luis Obispo,2000-2002,Sex,Male,87,386400,22.52,22.92
Suicide,San Luis Obispo,2000-2002,Sex,Total,105,752900,13.95,13.68
Suicide,San Luis Obispo,2003-2005,Sex,Female,15,377100,3.978,3.98
Suicide,San Luis Obispo,2003-2005,Sex,Male,77,396900,19.4,18.97
Suicide,San Luis Obispo,2003-2005,Sex,Total,92,774000,11.89,11.29
Suicide,San Luis Obispo,2006-2008,Sex,Female,24,386600,6.209,5.98
Suicide,San Luis Obispo,2006-2008,Sex,Male,80,406200,19.69,19
Suicide,San Luis Obispo,2006-2008,Sex,Total,104,792800,13.12,12.44
Suicide,San Luis Obispo,2009-2011,Sex,Female,33,394000,8.376,8.031
Suicide,San Luis Obispo,2009-2011,Sex,Male,113,413600,27.32,24.38
Suicide,San Luis Obispo,2009-2011,Sex,Total,146,807600,18.08,16.06
Suicide,San Luis Obispo,2012-2014,Sex,Female,34,401900,8.46,7.642
Suicide,San Luis Obispo,2012-2014,Sex,Male,112,420300,26.65,24.55
Suicide,San Luis Obispo,2012-2014,Sex,Total,146,822200,17.76,16.04
Suicide,San Luis Obispo,2015-2017,Sex,Female,44,409100,10.76,9.017
Suicide,San Luis Obispo,2015-2017,Sex,Male,117,427500,27.37,24.01
Suicide,San Luis Obispo,2015-2017,Sex,Total,161,836600,19.24,16.44
Suicide,San Mateo,2000-2002,Sex,Female,34,1078000,3.153,2.934
Suicide,San Mateo,2000-2002,Sex,Male,111,1042000,10.65,11.24
Suicide,San Mateo,2000-2002,Sex,Total,145,2121000,6.837,6.694
Suicide,San Mateo,2003-2005,Sex,Female,47,1069000,4.395,3.963
Suicide,San Mateo,2003-2005,Sex,Male,157,1034000,15.18,15.42
Suicide,San Mateo,2003-2005,Sex,Total,204,2104000,9.697,9.326
Suicide,San Mateo,2006-2008,Sex,Female,40,1075000,3.721,3.378
Suicide,San Mateo,2006-2008,Sex,Male,145,1040000,13.94,13.71
Suicide,San Mateo,2006-2008,Sex,Total,185,2115000,8.747,8.267
Suicide,San Mateo,2009-2011,Sex,Female,60,1101000,5.45,4.999
Suicide,San Mateo,2009-2011,Sex,Male,147,1065000,13.8,12.93
Suicide,San Mateo,2009-2011,Sex,Total,207,2166000,9.557,8.756
Suicide,San Mateo,2012-2014,Sex,Female,44,1140000,3.859,3.657
Suicide,San Mateo,2012-2014,Sex,Male,129,1105000,11.67,10.92
Suicide,San Mateo,2012-2014,Sex,Total,173,2246000,7.704,7.099
Suicide,San Mateo,2015-2017,Sex,Female,45,1170000,3.847,3.706
Suicide,San Mateo,2015-2017,Sex,Male,133,1138000,11.69,11.18
Suicide,San Mateo,2015-2017,Sex,Total,178,2307000,7.714,7.303
Suicide,Santa Barbara,2000-2002,Sex,Female,34,604200,5.627,5.741
Suicide,Santa Barbara,2000-2002,Sex,Male,105,605200,17.35,18.8
Suicide,Santa Barbara,2000-2002,Sex,Total,139,1209000,11.49,11.88
Suicide,Santa Barbara,2003-2005,Sex,Female,37,614800,6.019,6.102
Suicide,Santa Barbara,2003-2005,Sex,Male,71,617600,11.5,12.04
Suicide,Santa Barbara,2003-2005,Sex,Total,108,1232000,8.764,8.762
Suicide,Santa Barbara,2006-2008,Sex,Female,27,622400,4.338,4.15
Suicide,Santa Barbara,2006-2008,Sex,Male,80,627100,12.76,13.71
Suicide,Santa Barbara,2006-2008,Sex,Total,107,1249000,8.564,8.68
Suicide,Santa Barbara,2009-2011,Sex,Female,27,632900,4.266,4.252
Suicide,Santa Barbara,2009-2011,Sex,Male,110,638400,17.23,17.64
Suicide,Santa Barbara,2009-2011,Sex,Total,137,1271000,10.78,10.87
Suicide,Santa Barbara,2012-2014,Sex,Female,37,648400,5.706,5.459
Suicide,Santa Barbara,2012-2014,Sex,Male,112,657300,17.04,17.13
Suicide,Santa Barbara,2012-2014,Sex,Total,149,1306000,11.41,11.08
Suicide,Santa Barbara,2015-2017,Sex,Female,53,667000,7.947,7.734
Suicide,Santa Barbara,2015-2017,Sex,Male,126,678000,18.58,18.09
Suicide,Santa Barbara,2015-2017,Sex,Total,179,1345000,13.31,12.79
Suicide,Santa Clara,2000-2002,Sex,Female,94,2508000,3.749,3.706
Suicide,Santa Clara,2000-2002,Sex,Male,274,2566000,10.68,11.73
Suicide,Santa Clara,2000-2002,Sex,Total,368,5074000,7.253,7.412
Suicide,Santa Clara,2003-2005,Sex,Female,93,2521000,3.688,3.668
Suicide,Santa Clara,2003-2005,Sex,Male,297,2569000,11.56,12.01
Suicide,Santa Clara,2003-2005,Sex,Total,390,5091000,7.661,7.746
Suicide,Santa Clara,2006-2008,Sex,Female,116,2587000,4.484,4.389
Suicide,Santa Clara,2006-2008,Sex,Male,288,2623000,10.98,11.24
Suicide,Santa Clara,2006-2008,Sex,Total,404,5210000,7.755,7.724
Suicide,Santa Clara,2009-2011,Sex,Female,118,2677000,4.408,4.267
Suicide,Santa Clara,2009-2011,Sex,Male,333,2702000,12.32,12.25
Suicide,Santa Clara,2009-2011,Sex,Total,451,5379000,8.384,8.196
Suicide,Santa Clara,2012-2014,Sex,Female,114,2780000,4.101,3.887
Suicide,Santa Clara,2012-2014,Sex,Male,336,2817000,11.93,11.74
Suicide,Santa Clara,2012-2014,Sex,Total,450,5597000,8.04,7.737
Suicide,Santa Clara,2015-2017,Sex,Female,92,2874000,3.201,3.089
Suicide,Santa Clara,2015-2017,Sex,Male,344,2924000,11.77,11.42
Suicide,Santa Clara,2015-2017,Sex,Total,436,5798000,7.52,7.203
Suicide,Santa Cruz,2000-2002,Sex,Female,23,384800,5.978,5.973
Suicide,Santa Cruz,2000-2002,Sex,Male,72,382900,18.81,20.65
Suicide,Santa Cruz,2000-2002,Sex,Total,95,767600,12.38,12.52
Suicide,Santa Cruz,2003-2005,Sex,Female,29,383100,7.569,7.031
Suicide,Santa Cruz,2003-2005,Sex,Male,71,381600,18.61,19.62
Suicide,Santa Cruz,2003-2005,Sex,Total,101,764700,13.21,13.03
Suicide,Santa Cruz,2006-2008,Sex,Female,13,387200,3.357,3.015
Suicide,Santa Cruz,2006-2008,Sex,Male,73,385700,18.93,20.08
Suicide,Santa Cruz,2006-2008,Sex,Total,86,773000,11.13,10.88
Suicide,Santa Cruz,2009-2011,Sex,Female,29,395400,7.335,7.375
Suicide,Santa Cruz,2009-2011,Sex,Male,79,394100,20.05,19.84
Suicide,Santa Cruz,2009-2011,Sex,Total,108,789400,13.68,13.47
Suicide,Santa Cruz,2012-2014,Sex,Female,30,405000,7.408,7.118
Suicide,Santa Cruz,2012-2014,Sex,Male,90,404800,22.23,23.02
Suicide,Santa Cruz,2012-2014,Sex,Total,120,809800,14.82,14.59
Suicide,Santa Cruz,2015-2017,Sex,Female,46,414400,11.1,10.03
Suicide,Santa Cruz,2015-2017,Sex,Male,90,414900,21.69,21.57
Suicide,Santa Cruz,2015-2017,Sex,Total,136,829300,16.4,15.74
Suicide,Shasta,2000-2002,Sex,Female,22,256100,8.59,8.717
Suicide,Shasta,2000-2002,Sex,Male,80,244600,32.7,33.38
Suicide,Shasta,2000-2002,Sex,Total,102,500800,20.37,20.13
Suicide,Shasta,2003-2005,Sex,Female,21,265100,7.922,7.446
Suicide,Shasta,2003-2005,Sex,Male,71,254600,27.88,28.1
Suicide,Shasta,2003-2005,Sex,Total,92,519700,17.7,17.32
Suicide,Shasta,2006-2008,Sex,Female,18,268700,6.698,7.09
Suicide,Shasta,2006-2008,Sex,Male,99,259000,38.23,37.72
Suicide,Shasta,2006-2008,Sex,Total,117,527700,22.17,21.54
Suicide,Shasta,2009-2011,Sex,Female,23,270300,8.51,7.722
Suicide,Shasta,2009-2011,Sex,Male,104,261100,39.83,37.83
Suicide,Shasta,2009-2011,Sex,Total,127,531400,23.9,22.23
Suicide,Shasta,2012-2014,Sex,Female,28,272700,10.27,9.772
Suicide,Shasta,2012-2014,Sex,Male,101,263300,38.36,35.04
Suicide,Shasta,2012-2014,Sex,Total,129,535900,24.07,21.94
Suicide,Shasta,2015-2017,Sex,Female,31,272400,11.38,10.24
Suicide,Shasta,2015-2017,Sex,Male,104,262900,39.56,37.53
Suicide,Shasta,2015-2017,Sex,Total,135,535300,25.22,23.37
Suicide,Siskiyou,2000-2002,Sex,Total,27,133100,20.29,20.31
Suicide,Siskiyou,2003-2005,Sex,Female,11,67920,16.2,14.23
Suicide,Siskiyou,2003-2005,Sex,Male,22,66400,33.13,30.19
Suicide,Siskiyou,2003-2005,Sex,Total,33,134300,24.57,22.03
Suicide,Siskiyou,2006-2008,Sex,Total,33,134800,24.48,23.11
Suicide,Siskiyou,2009-2011,Sex,Total,32,134600,23.77,23.79
Suicide,Siskiyou,2012-2014,Sex,Total,34,134000,25.37,23.92
Suicide,Siskiyou,2015-2017,Sex,Total,32,133200,24.02,19.91
Suicide,Solano,2000-2002,Sex,Female,23,600500,3.83,3.901
Suicide,Solano,2000-2002,Sex,Male,94,605200,15.53,18.19
Suicide,Solano,2000-2002,Sex,Total,117,1206000,9.703,10.41
Suicide,Solano,2003-2005,Sex,Female,18,613900,2.932,2.909
Suicide,Solano,2003-2005,Sex,Male,97,616900,15.72,16.21
Suicide,Solano,2003-2005,Sex,Total,115,1231000,9.343,9.439
Suicide,Solano,2006-2008,Sex,Female,28,617900,4.531,4.456
Suicide,Solano,2006-2008,Sex,Male,90,619200,14.53,15.08
Suicide,Solano,2006-2008,Sex,Total,118,1237000,9.538,9.577
Suicide,Solano,2009-2011,Sex,Female,37,620600,5.962,6.174
Suicide,Solano,2009-2011,Sex,Male,124,619100,20.03,20.21
Suicide,Solano,2009-2011,Sex,Total,161,1240000,12.99,12.85
Suicide,Solano,2012-2014,Sex,Female,29,634500,4.57,4.114
Suicide,Solano,2012-2014,Sex,Male,120,629000,19.08,18.78
Suicide,Solano,2012-2014,Sex,Total,149,1264000,11.79,11.17
Suicide,Solano,2015-2017,Sex,Female,35,654200,5.35,5.041
Suicide,Solano,2015-2017,Sex,Male,113,648500,17.42,17.21
Suicide,Solano,2015-2017,Sex,Total,148,1303000,11.36,11.05
Suicide,Sonoma,2000-2002,Sex,Female,38,707700,5.37,4.815
Suicide,Sonoma,2000-2002,Sex,Male,115,684200,16.81,17.3
Suicide,Sonoma,2000-2002,Sex,Total,153,1392000,10.99,10.57
Suicide,Sonoma,2003-2005,Sex,Female,44,715600,6.149,5.585
Suicide,Sonoma,2003-2005,Sex,Male,140,692100,20.23,20.16
Suicide,Sonoma,2003-2005,Sex,Total,184,1408000,13.07,12.44
Suicide,Sonoma,2006-2008,Sex,Female,43,721300,5.961,5.192
Suicide,Sonoma,2006-2008,Sex,Male,141,698300,20.19,19.43
Suicide,Sonoma,2006-2008,Sex,Total,184,1420000,12.96,12.03
Suicide,Sonoma,2009-2011,Sex,Female,65,737300,8.816,7.832
Suicide,Sonoma,2009-2011,Sex,Male,143,714000,20.03,18.69
Suicide,Sonoma,2009-2011,Sex,Total,208,1451000,14.33,12.98
Suicide,Sonoma,2012-2014,Sex,Female,45,752900,5.977,5.403
Suicide,Sonoma,2012-2014,Sex,Male,151,729100,20.71,19.25
Suicide,Sonoma,2012-2014,Sex,Total,196,1482000,13.22,11.79
Suicide,Sonoma,2015-2017,Sex,Female,49,768100,6.379,5.519
Suicide,Sonoma,2015-2017,Sex,Male,156,744400,20.96,19.16
Suicide,Sonoma,2015-2017,Sex,Total,205,1512000,13.55,12.19
Suicide,Stanislaus,2000-2002,Sex,Female,23,703800,3.268,3.418
Suicide,Stanislaus,2000-2002,Sex,Male,102,682700,14.94,16.11
Suicide,Stanislaus,2000-2002,Sex,Total,125,1386000,9.016,9.49
Suicide,Stanislaus,2003-2005,Sex,Female,41,745600,5.499,5.802
Suicide,Stanislaus,2003-2005,Sex,Male,119,725700,16.4,17.9
Suicide,Stanislaus,2003-2005,Sex,Total,160,1471000,10.87,11.52
Suicide,Stanislaus,2006-2008,Sex,Female,30,770300,3.895,3.943
Suicide,Stanislaus,2006-2008,Sex,Male,120,752000,15.96,17.15
Suicide,Stanislaus,2006-2008,Sex,Total,150,1522000,9.853,10.27
Suicide,Stanislaus,2009-2011,Sex,Female,38,781500,4.863,5.008
Suicide,Stanislaus,2009-2011,Sex,Male,130,765300,16.99,18.2
Suicide,Stanislaus,2009-2011,Sex,Total,168,1547000,10.86,11.29
Suicide,Stanislaus,2012-2014,Sex,Female,33,799100,4.13,4.194
Suicide,Stanislaus,2012-2014,Sex,Male,130,783900,16.58,17.69
Suicide,Stanislaus,2012-2014,Sex,Total,163,1583000,10.3,10.54
Suicide,Stanislaus,2015-2017,Sex,Female,38,824600,4.608,4.68
Suicide,Stanislaus,2015-2017,Sex,Male,127,810500,15.67,16.21
Suicide,Stanislaus,2015-2017,Sex,Total,165,1635000,10.09,10.16
Suicide,Sutter,2000-2002,Sex,Total,35,241400,14.5,15.04
Suicide,Sutter,2003-2005,Sex,Total,27,258300,10.45,10.78
Suicide,Sutter,2006-2008,Sex,Total,28,276600,10.12,10.26
Suicide,Sutter,2009-2011,Sex,Total,34,284700,11.94,11.95
Suicide,Sutter,2012-2014,Sex,Total,48,289700,16.57,16.17
Suicide,Sutter,2015-2017,Sex,Total,42,294800,14.25,13.87
Suicide,Tehama,2000-2002,Sex,Total,33,169600,19.46,18.06
Suicide,Tehama,2003-2005,Sex,Total,20,178400,11.21,11.25
Suicide,Tehama,2006-2008,Sex,Female,11,93640,11.75,11.44
Suicide,Tehama,2006-2008,Sex,Male,26,92640,28.07,28.94
Suicide,Tehama,2006-2008,Sex,Total,37,186300,19.86,20.07
Suicide,Tehama,2009-2011,Sex,Total,33,190200,17.35,16.36
Suicide,Tehama,2012-2014,Sex,Total,34,191300,17.77,15.42
Suicide,Tehama,2015-2017,Sex,Total,34,192400,17.67,19.22
Suicide,Trinity,2003-2005,Sex,Total,19,40680,46.7,48.8
Suicide,Trinity,2006-2008,Sex,Total,15,41330,36.29,33.26
Suicide,Trinity,2015-2017,Sex,Total,16,40490,39.51,43.87
Suicide,Tulare,2000-2002,Sex,Total,80,1124000,7.117,8.09
Suicide,Tulare,2003-2005,Sex,Female,15,599300,2.503,2.679
Suicide,Tulare,2003-2005,Sex,Male,89,599400,14.85,16.22
Suicide,Tulare,2003-2005,Sex,Total,104,1199000,8.676,9.348
Suicide,Tulare,2006-2008,Sex,Total,111,1271000,8.732,9.849
Suicide,Tulare,2009-2011,Sex,Female,14,663300,2.111,2.319
Suicide,Tulare,2009-2011,Sex,Male,107,665200,16.09,18.11
Suicide,Tulare,2009-2011,Sex,Total,121,1328000,9.108,10.05
Suicide,Tulare,2012-2014,Sex,Female,28,682800,4.101,4.442
Suicide,Tulare,2012-2014,Sex,Male,103,685000,15.04,16.29
Suicide,Tulare,2012-2014,Sex,Total,131,1368000,9.577,10.26
Suicide,Tulare,2015-2017,Sex,Female,30,701100,4.279,4.483
Suicide,Tulare,2015-2017,Sex,Male,118,703700,16.77,18.18
Suicide,Tulare,2015-2017,Sex,Total,148,1405000,10.54,11.16
Suicide,Tuolumne,2000-2002,Sex,Total,28,165800,16.88,15.52
Suicide,Tuolumne,2003-2005,Sex,Total,40,169300,23.63,22.06
Suicide,Tuolumne,2006-2008,Sex,Total,38,168800,22.52,19.93
Suicide,Tuolumne,2009-2011,Sex,Total,41,165800,24.73,23.31
Suicide,Tuolumne,2012-2014,Sex,Total,26,164600,15.79,14.2
Suicide,Tuolumne,2015-2017,Sex,Total,42,163000,25.77,18.87
Suicide,Ventura,2000-2002,Sex,Female,46,1157000,3.975,4.006
Suicide,Ventura,2000-2002,Sex,Male,161,1149000,14.02,15.63
Suicide,Ventura,2000-2002,Sex,Total,207,2306000,8.977,9.397
Suicide,Ventura,2003-2005,Sex,Female,58,1196000,4.851,4.833
Suicide,Ventura,2003-2005,Sex,Male,165,1186000,13.92,15.06
Suicide,Ventura,2003-2005,Sex,Total,223,2381000,9.365,9.649
Suicide,Ventura,2006-2008,Sex,Female,57,1216000,4.689,4.423
Suicide,Ventura,2006-2008,Sex,Male,206,1203000,17.12,17.94
Suicide,Ventura,2006-2008,Sex,Total,263,2419000,10.87,10.85
Suicide,Ventura,2009-2011,Sex,Female,69,1245000,5.544,5.062
Suicide,Ventura,2009-2011,Sex,Male,221,1230000,17.97,18.44
Suicide,Ventura,2009-2011,Sex,Total,290,2474000,11.72,11.4
Suicide,Ventura,2012-2014,Sex,Female,79,1270000,6.219,5.897
Suicide,Ventura,2012-2014,Sex,Male,213,1257000,16.95,17.07
Suicide,Ventura,2012-2014,Sex,Total,292,2527000,11.55,11.18
Suicide,Ventura,2015-2017,Sex,Female,64,1288000,4.968,4.653
Suicide,Ventura,2015-2017,Sex,Male,224,1277000,17.55,16.95
Suicide,Ventura,2015-2017,Sex,Total,288,2565000,11.23,10.53
Suicide,Yolo,2000-2002,Sex,Female,11,268200,4.101,4.908
Suicide,Yolo,2000-2002,Sex,Male,40,255900,15.63,17.18
Suicide,Yolo,2000-2002,Sex,Total,51,524200,9.729,10.87
Suicide,Yolo,2003-2005,Sex,Total,41,555400,7.382,8.004
Suicide,Yolo,2006-2008,Sex,Female,21,299000,7.024,7.383
Suicide,Yolo,2006-2008,Sex,Male,42,284300,14.77,15.04
Suicide,Yolo,2006-2008,Sex,Total,63,583300,10.8,11.21
Suicide,Yolo,2009-2011,Sex,Total,49,605100,8.098,8.291
Suicide,Yolo,2012-2014,Sex,Total,51,623400,8.18,8.515
Suicide,Yolo,2015-2017,Sex,Female,15,333200,4.502,4.502
Suicide,Yolo,2015-2017,Sex,Male,64,316600,20.22,21
Suicide,Yolo,2015-2017,Sex,Total,79,649700,12.16,12.47
Suicide,Yuba,2000-2002,Sex,Total,25,184500,13.55,15
Suicide,Yuba,2003-2005,Sex,Total,35,196900,17.77,19.65
Suicide,Yuba,2006-2008,Sex,Total,38,210900,18.02,18.68
Suicide,Yuba,2009-2011,Sex,Total,29,217100,13.36,13.85
Suicide,Yuba,2012-2014,Sex,Total,34,223000,15.24,15.37
Suicide,Yuba,2015-2017,Sex,Total,41,228600,17.93,18.75
,,,,,,,,
,,,,," 127,906 ",,,
